Athlete,Age,Country,Year,Closing Ceremony Date,Sport,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Michael Phelps,23,United States,2008,8/24/08,Swimming,8,0,0,8
Michael Phelps,19,United States,2004,8/29/04,Swimming,6,0,2,8
Michael Phelps,27,United States,2012,8/12/12,Swimming,4,2,0,6
Natalie Coughlin,25,United States,2008,8/24/08,Swimming,1,2,3,6
Aleksey Nemov,24,Russia,2000,10/1/00,Gymnastics,2,1,3,6
Alicia Coutts,24,Australia,2012,8/12/12,Swimming,1,3,1,5
Missy Franklin,17,United States,2012,8/12/12,Swimming,4,0,1,5
Ryan Lochte,27,United States,2012,8/12/12,Swimming,2,2,1,5
Allison Schmitt,22,United States,2012,8/12/12,Swimming,3,1,1,5
Natalie Coughlin,21,United States,2004,8/29/04,Swimming,2,2,1,5
Ian Thorpe,17,Australia,2000,10/1/00,Swimming,3,2,0,5
Dara Torres,33,United States,2000,10/1/00,Swimming,2,0,3,5
Cindy Klassen,26,Canada,2006,2/26/06,Speed Skating,1,2,2,5
Nastia Liukin,18,United States,2008,8/24/08,Gymnastics,1,3,1,5
Marit Bjõrgen,29,Norway,2010,2/28/10,Cross Country Skiing,3,1,1,5
Sun Yang,20,China,2012,8/12/12,Swimming,2,1,1,4
Kirsty Coventry,24,Zimbabwe,2008,8/24/08,Swimming,1,3,0,4
Libby Lenton-Trickett,23,Australia,2008,8/24/08,Swimming,2,1,1,4
Ryan Lochte,24,United States,2008,8/24/08,Swimming,2,0,2,4
Inge de Bruijn,30,Netherlands,2004,8/29/04,Swimming,1,1,2,4
Petria Thomas,28,Australia,2004,8/29/04,Swimming,3,1,0,4
Ian Thorpe,21,Australia,2004,8/29/04,Swimming,2,1,1,4
Inge de Bruijn,27,Netherlands,2000,10/1/00,Swimming,3,1,0,4
Gary Hall Jr.,25,United States,2000,10/1/00,Swimming,2,1,1,4
Michael Klim,23,Australia,2000,10/1/00,Swimming,2,2,0,4
Susie O'Neill,27,Australia,2000,10/1/00,Swimming,1,3,0,4
Jenny Thompson,27,United States,2000,10/1/00,Swimming,3,0,1,4
Pieter van den Hoogenband,22,Netherlands,2000,10/1/00,Swimming,2,0,2,4
An Hyeon-Su,20,South Korea,2006,2/26/06,Short-Track Speed Skating,3,0,1,4
Aliya Mustafina,17,Russia,2012,8/12/12,Gymnastics,1,1,2,4
Shawn Johnson,16,United States,2008,8/24/08,Gymnastics,1,3,0,4
Dmitry Sautin,26,Russia,2000,10/1/00,Diving,1,1,2,4
Leontien Zijlaard-van Moorsel,30,Netherlands,2000,10/1/00,Cycling,3,1,0,4
Petter Northug Jr.,24,Norway,2010,2/28/10,Cross Country Skiing,2,1,1,4
Ole Einar Bjõrndalen,28,Norway,2002,2/24/02,Biathlon,4,0,0,4
Janica Kostelic,20,Croatia,2002,2/24/02,Alpine Skiing,3,1,0,4
Nathan Adrian,23,United States,2012,8/12/12,Swimming,2,1,0,3
Yannick Agnel,20,France,2012,8/12/12,Swimming,2,1,0,3
Brittany Elmslie,18,Australia,2012,8/12/12,Swimming,1,2,0,3
Matt Grevers,27,United States,2012,8/12/12,Swimming,2,1,0,3
Ryosuke Irie,22,Japan,2012,8/12/12,Swimming,0,2,1,3
Cullen Jones,28,United States,2012,8/12/12,Swimming,1,2,0,3
Ranomi Kromowidjojo,21,Netherlands,2012,8/12/12,Swimming,2,1,0,3
Camille Muffat,22,France,2012,8/12/12,Swimming,1,1,1,3
Mel Schlanger,25,Australia,2012,8/12/12,Swimming,1,2,0,3
Emily Seebohm,20,Australia,2012,8/12/12,Swimming,1,2,0,3
Rebecca Soni,25,United States,2012,8/12/12,Swimming,2,1,0,3
Satomi Suzuki,21,Japan,2012,8/12/12,Swimming,0,1,2,3
Dana Vollmer,24,United States,2012,8/12/12,Swimming,3,0,0,3
Alain Bernard,25,France,2008,8/24/08,Swimming,1,1,1,3
L†szl¢ Cseh Jr.,22,Hungary,2008,8/24/08,Swimming,0,3,0,3
Matt Grevers,23,United States,2008,8/24/08,Swimming,2,1,0,3
Margaret Hoelzer,25,United States,2008,8/24/08,Swimming,0,2,1,3
Katie Hoff,19,United States,2008,8/24/08,Swimming,0,1,2,3
Leisel Jones,22,Australia,2008,8/24/08,Swimming,2,1,0,3
Kosuke Kitajima,25,Japan,2008,8/24/08,Swimming,2,0,1,3
Andrew Lauterstein,21,Australia,2008,8/24/08,Swimming,0,1,2,3
Jason Lezak,32,United States,2008,8/24/08,Swimming,2,0,1,3
Pang Jiaying,23,China,2008,8/24/08,Swimming,0,1,2,3
Aaron Peirsol,25,United States,2008,8/24/08,Swimming,2,1,0,3
Steph Rice,20,Australia,2008,8/24/08,Swimming,3,0,0,3
Jess Schipper,21,Australia,2008,8/24/08,Swimming,1,0,2,3
Rebecca Soni,21,United States,2008,8/24/08,Swimming,1,2,0,3
Eamon Sullivan,22,Australia,2008,8/24/08,Swimming,0,2,1,3
Dara Torres,41,United States,2008,8/24/08,Swimming,0,3,0,3
Amanda Beard,22,United States,2004,8/29/04,Swimming,1,2,0,3
Antje Buschschulte,25,Germany,2004,8/29/04,Swimming,0,0,3,3
Kirsty Coventry,20,Zimbabwe,2004,8/29/04,Swimming,1,1,1,3
Ian Crocker,21,United States,2004,8/29/04,Swimming,1,1,1,3
Grant Hackett,24,Australia,2004,8/29/04,Swimming,1,2,0,3
Brendan Hansen,22,United States,2004,8/29/04,Swimming,1,1,1,3
Jodie Henry,20,Australia,2004,8/29/04,Swimming,3,0,0,3
Otylia Jedrzejczak,20,Poland,2004,8/29/04,Swimming,1,2,0,3
Leisel Jones,18,Australia,2004,8/29/04,Swimming,1,1,1,3
Kosuke Kitajima,21,Japan,2004,8/29/04,Swimming,2,0,1,3
Laure Manaudou,17,France,2004,8/29/04,Swimming,1,1,1,3
Aaron Peirsol,21,United States,2004,8/29/04,Swimming,3,0,0,3
Kaitlin Sandeno,21,United States,2004,8/29/04,Swimming,1,1,1,3
Roland Schoeman,24,South Africa,2004,8/29/04,Swimming,1,1,1,3
Pieter van den Hoogenband,26,Netherlands,2004,8/29/04,Swimming,1,2,0,3
Therese Alshammar,23,Sweden,2000,10/1/00,Swimming,0,2,1,3
Yana Klochkova,18,Ukraine,2000,10/1/00,Swimming,2,1,0,3
Lenny Krayzelburg,24,United States,2000,10/1/00,Swimming,3,0,0,3
Massimiliano Rosolino,22,Italy,2000,10/1/00,Swimming,1,1,1,3
Petria Thomas,25,Australia,2000,10/1/00,Swimming,0,2,1,3
Matt Welsh,23,Australia,2000,10/1/00,Swimming,0,2,1,3
Lee Jeong-Su,20,South Korea,2010,2/28/10,Short-Track Speed Skating,2,1,0,3
Apolo Anton Ohno,27,United States,2010,2/28/10,Short-Track Speed Skating,0,1,2,3
Wang Meng,24,China,2010,2/28/10,Short-Track Speed Skating,3,0,0,3
Jin Seon-Yu,17,South Korea,2006,2/26/06,Short-Track Speed Skating,3,0,0,3
Lee Ho-Seok,19,South Korea,2006,2/26/06,Short-Track Speed Skating,1,2,0,3
Apolo Anton Ohno,23,United States,2006,2/26/06,Short-Track Speed Skating,1,0,2,3
Wang Meng,20,China,2006,2/26/06,Short-Track Speed Skating,1,1,1,3
Marc Gagnon,26,Canada,2002,2/24/02,Short-Track Speed Skating,2,0,1,3
Yang Yang (A),25,China,2002,2/24/02,Short-Track Speed Skating,2,1,0,3
Stephanie Beckert,21,Germany,2010,2/28/10,Speed Skating,1,2,0,3
Martina S†bl°kov†,22,Czech Republic,2010,2/28/10,Speed Skating,2,0,1,3
Enrico Fabris,24,Italy,2006,2/26/06,Speed Skating,2,0,1,3
Chad Hedrick,28,United States,2006,2/26/06,Speed Skating,1,1,1,3
Jochem Uytdehaage,25,Netherlands,2002,2/24/02,Speed Skating,2,1,0,3
Sabine Vîlker,28,Germany,2002,2/24/02,Speed Skating,0,2,1,3
Gregor Schlierenzauer,20,Austria,2010,2/28/10,Ski Jumping,1,0,2,3
Lars Bystõl,27,Norway,2006,2/26/06,Ski Jumping,1,0,2,3
Johnny Spillane,29,United States,2010,2/28/10,Nordic Combined,0,3,0,3
Felix Gottwald,30,Austria,2006,2/26/06,Nordic Combined,2,1,0,3
Georg Hettich,27,Germany,2006,2/26/06,Nordic Combined,1,1,1,3
Felix Gottwald,26,Austria,2002,2/24/02,Nordic Combined,0,0,3,3
Samppa Lajunen,22,Finland,2002,2/24/02,Nordic Combined,3,0,0,3
Aly Raisman,18,United States,2012,8/12/12,Gymnastics,2,0,1,3
Kohei Uchimura,23,Japan,2012,8/12/12,Gymnastics,1,2,0,3
Zou Kai,24,China,2012,8/12/12,Gymnastics,2,0,1,3
Cheng Fei,20,China,2008,8/24/08,Gymnastics,1,0,2,3
Yang Wei,28,China,2008,8/24/08,Gymnastics,2,1,0,3
Yang Yilin,15,China,2008,8/24/08,Gymnastics,1,0,2,3
Zou Kai,20,China,2008,8/24/08,Gymnastics,3,0,0,3
Marian Dragulescu,23,Romania,2004,8/29/04,Gymnastics,0,1,2,3
Paul Hamm,21,United States,2004,8/29/04,Gymnastics,1,2,0,3
Carly Patterson,16,United States,2004,8/29/04,Gymnastics,1,2,0,3
Catalina Ponor,16,Romania,2004,8/29/04,Gymnastics,3,0,0,3
Simona AmÉnar,20,Romania,2000,10/1/00,Gymnastics,2,0,1,3
Svetlana Khorkina,21,Russia,2000,10/1/00,Gymnastics,1,2,0,3
Yekaterina Lobaznyuk,17,Russia,2000,10/1/00,Gymnastics,0,2,1,3
Yelena Zamolodchikova,17,Russia,2000,10/1/00,Gymnastics,2,1,0,3
Guo Shuang,26,China,2012,8/12/12,Cycling,0,2,1,3
Chris Hoy,32,Great Britain,2008,8/24/08,Cycling,3,0,0,3
Bradley Wiggins,24,Great Britain,2004,8/29/04,Cycling,1,1,1,3
Florian Rousseau,26,France,2000,10/1/00,Cycling,2,1,0,3
Justyna Kowalczyk,27,Poland,2010,2/28/10,Cross Country Skiing,1,1,1,3
Johan Olsson,29,Sweden,2010,2/28/10,Cross Country Skiing,1,0,2,3
Stefania Belmondo,33,Italy,2002,2/24/02,Cross Country Skiing,1,1,1,3
Yuliya Chepalova,25,Russia,2002,2/24/02,Cross Country Skiing,1,1,1,3
Frode Estil,29,Norway,2002,2/24/02,Cross Country Skiing,2,1,0,3
Bente Skari-Martinsen,29,Norway,2002,2/24/02,Cross Country Skiing,1,1,1,3
Magdalena Neuner,23,Germany,2010,2/28/10,Biathlon,2,1,0,3
Emil Hegle Svendsen,24,Norway,2010,2/28/10,Biathlon,2,1,0,3
Albina Akhatova,29,Russia,2006,2/26/06,Biathlon,1,0,2,3
Ole Einar Bjõrndalen,32,Norway,2006,2/26/06,Biathlon,0,2,1,3
